1000	Lausanne
1001	Lausanne
1002	Lausanne
1003	Lausanne
1004	Lausanne
1005	Lausanne
1006	Lausanne
1007	Lausanne
1008	Jouxtens-Mézery
1008	Prilly
1009	Pully
1010	Lausanne
1011	Lausanne
1012	Lausanne
1014	Lausanne
1015	Lausanne
1017	Lausanne
1018	Lausanne
1019	Lausanne
1020	Renens
1022	Chavannes-près-Renens
1023	Crissier
1024	Ecublens
1025	St-Sulpice
1026	Echandens
1026	Denges
1027	Lonay
1028	Préverenges
1029	Villars-Ste-Croix
1030	Bussigny-près-Lausanne
1031	Mex
1032	Romanel-sur-Lausanne
1033	Cheseaux-sur-Lausanne
1034	Boussens
1035	Bournens
1036	Sullens
1037	Etagnières
1038	Bercher
1039	Cheseaux Polyval
1040	Echallens
1040	St-Barthélemy
1040	Villars-le-Terroir
1041	Poliez-le-Grand
1041	Bottens
1041	Poliez-Pittet
1041	Naz
1041	Dommartin
1041	Montaubion-Chardonney
1042	Bioley-Orjulaz
1042	Bettens
1042	Assens
1043	Sugnens
1044	Fey
1045	Ogens
1046	Rueyres
1047	Oppens
1052	Le Mont-sur-Lausanne
1053	Cugy
1053	Bretigny-sur-Morrens
1054	Morrens
1055	Froideville
1058	Villars-Tiercelin
1059	Peney-le-Jorat
1061	Villars-Mendraz
1062	Sottens
1063	Martherenges
1063	Chapelle-sur-Moudon
1063	Boulens
1063	Peyres-Possens
1066	Epalinges
1068	Les Monts-de-Pully
1070	Puidoux
1071	Rivaz
1071	St-Saphorin (Lavaux)
1071	Chexbres
1072	Forel (Lavaux)
1073	Savigny
1073	Mollie-Margot
1076	Ferlens
1077	Servion
1078	Essertes
1080	Les Cullayes
1081	Montpreveyres
1082	Corcelles-le-Jorat
1083	Mézières
1084	Carrouge
1085	Vulliens
1088	Ropraz
1090	La Croix (Lutry)
1091	Chenaux
1091	Grandvaux
1091	Aran
1092	Belmont-sur-Lausanne
1093	La Conversion
1094	Paudex
1095	Lutry
1096	Villette (Lavaux)
1096	Cully
1097	Riex
1098	Epesses
1110	Morges
1112	Echichens
1113	St-Saphorin-sur-Morges
1114	Colombier
1115	Vullierens
1116	Cottens
1117	Grancy
1121	Bremblens
1122	Romanel-sur-Morges
1123	Aclens
1124	Gollion
1125	Monnaz
1126	Vaux-sur-Morges
1127	Clarmont
1128	Reverolle
1131	Tolochenaz
1132	Lully
1134	Vufflens-le-Château
1134	Chigny
1135	Denens
1136	Bussy-Chardonney
1141	Sévery
1142	Pampigny
1143	Apples
1144	Ballens
1145	Bière
1146	Mollens
1147	Montricher
1148	La Praz
1148	Chavannes-le-Veyron
1148	Villars-Bozon
1148	La Coudre
1148	Cuarnens
1148	Moiry
1148	Mont-la-Ville
1148	Mauraz
1148	L'Isle
1149	Berolle
1162	St-Prex
1163	Etoy
1164	Buchillon
1165	Allaman
1166	Perroy
1167	Lussy-sur-Morges
1168	Villars-sous-Yens
1169	Yens
1170	Aubonne
1172	Bougy-Villars
1173	Féchy
1174	Montherod
1174	Pizy
1175	Lavigny
1176	St-Livres
1180	Tartegnin
1180	Rolle
1182	Gilly
1183	Bursins
1184	Luins
1184	Vinzel
1185	Mont-sur-Rolle
1186	Essertines-sur-Rolle
1187	St-Oyens
1188	Gimel
1188	St-George
1189	Saubraz
1195	Bursinel
1195	Dully
1196	Gland
1197	Prangins
1200	Genève
1201	Genève
1202	Genève
1203	Genève
1204	Genève
1205	Genève
1206	Genève
1207	Genève
1208	Genève
1209	Genève
1211	Genève
1212	Grand-Lancy
1213	Onex
1213	Petit-Lancy
1214	Vernier
1215	Genève
1216	Cointrin
1217	Meyrin
1218	Le Grand-Saconnex
1219	Châtelaine
1219	Le Lignon
1219	Aïre
1220	Les Avanchets
1222	Vésenaz
1223	Cologny
1224	Chêne-Bougeries
1225	Chêne-Bourg
1226	Thônex
1227	Les Acacias
1227	Carouge
1228	Plan-les-Ouates
1231	Conches
